,document_id,entity,giga_chat_pred
0,ru-1006,PER,PER-Maria-Zaharova
1,ru-1006,PER,PER-Boris-Johnson
2,ru-1006,PER,PER-Theresa-May
3,ru-1006,ORG,ORG-Russian-Foreign-Ministry
4,ru-1006,ORG,ORG-European-Union
5,ru-1006,LOC,LOC-United-Kingdom
6,ru-1006,EVT,EVT-Brexit
7,ru-1002,PER,PER-Teresa-May
8,ru-1002,PER,PER-Boris-Johnson
9,ru-1002,PER,PER-David-Davis
10,ru-1002,ORG,ORG-European-Union
11,ru-1002,LOC,LOC-United-Kingdom
12,ru-1002,EVT,EVT-Brexit
13,ru-1004,PER,PER-Boris-Johnson
14,ru-1004,PER,PER-Theresa-May
15,ru-1004,PER,PER-David-Davis
16,ru-1004,ORG,ORG-European-Union
17,ru-1004,LOC,LOC-United-Kingdom
18,ru-1004,LOC,LOC-Germany
19,ru-1004,LOC,LOC-Poland
20,ru-1004,LOC,LOC-Western-Balkans
21,ru-1004,EVT,EVT-Brexit
22,ru-1000,PER,PER-Boris-Johnson
23,ru-1000,PER,PER-David-Davis
24,ru-1000,PER,PER-Steve-Baker
25,ru-1000,PER,PER-Theresa-May
26,ru-1000,ORG,ORG-European-Union
27,ru-1000,LOC,LOC-United-Kingdom
28,ru-10,PER,PER-Boris-Johnson
29,ru-10,PER,PER-Theresa-May
30,ru-10,PER,PER-Sebastian-Kurz
31,ru-10,ORG,ORG-European-Union
32,ru-10,LOC,LOC-United-Kingdom
33,ru-10,LOC,LOC-Northern-Ireland
34,ru-10,LOC,LOC-Albion
35,ru-10,LOC,LOC-Britain
36,ru-10,LOC,LOC-London
37,ru-10,LOC,LOC-Bruxelles
38,ru-10,LOC,LOC-La-Manche
39,ru-10,EVT,EVT-Brexit
40,ru-1003,PER,PER-Boris-Johnson
41,ru-1003,PER,PER-Theresa-May
42,ru-1003,PER,PER-David-Davis
43,ru-1003,ORG,ORG-European-Union
44,ru-1003,LOC,LOC-United-Kingdom
45,ru-1003,EVT,EVT-Brexit
46,ru-1017,PER,PER-Boris-Johnson
47,ru-1017,PER,PER-David-Davis
48,ru-1017,PER,PER-Steve-Baker
49,ru-1017,PER,PER-Theresa-May
50,ru-1017,ORG,ORG-European-Union
51,ru-1017,LOC,LOC-United-Kingdom
52,ru-1017,EVT,EVT-Brexit
53,ru-1001,PER,PER-Boris-Johnson
54,ru-1001,PER,PER-Theresa-May
55,ru-1001,ORG,ORG-European-Union
56,ru-1001,LOC,LOC-United-Kingdom
57,ru-1001,EVT,EVT-Brexit
58,ru-1011,PER,PER-Boris-Johnson
59,ru-1011,ORG,ORG-European-Union
60,ru-1011,LOC,LOC-United-Kingdom
61,ru-1011,EVT,EVT-Brexit
